Anyo;Semana;Zona Hidrográfica;Embalse Hidroeléctrico;Embalses;Ríos;AguaEmbalsada (hm3) Capacidad;AguaEmbalsada (hm3) Actual;AguaEmbalsada (hm3) (+ / -)SemanaAnterior;EnergíaDisponible GWh Capacidad;EnergíaDisponible GWh Actual;
2018;7;Ebro;NO;Oliana;Segre;84;56;-3;57;37;
2018;7;Ebro;NO;Pajares;Lumbreras;35;9;0;21;6;
2018;7;Ebro;NO;Pena;Pena;18;10;0;2;1;
2018;7;Ebro;NO;Peña, La;Gállego;15;11;0;10;7;
2018;7;Ebro;NO;Puente de Santolea;Guadalope;18;18;0;7;7;
2018;7;Ebro;NO;Rialb;Segre;404;196;6;217;105;
2018;7;Ebro;SI;Ribarroja;Ebro;210;203;5;12;11;
2018;7;Ebro;SI;Sallente;Flamisell;6;0;-1;25;1;
2018;7;Ebro;NO;San Bartolomé;Arba;6;2;1;2;1;
2018;7;Ebro;SI;San Lorenzo;Segre;10;9;0;4;3;
2018;7;Ebro;NO;Santa Ana;Noguera-Ribagorzana;237;172;8;92;63;
2018;7;Ebro;NO;Santa María de Belsué;Flumen;14;1;0;1;0;
